sender,volume,transfers,avg_value
CEX vaults (top 1000 USDT holders),19530471.31949692,10906,1790.8005977899247
CEX deposit addresses,18726508.09945297,3749,4995.067511190442
TWryaLGuwioccGGt8HrNWe4YxECCReZmBv,604000.0,3,201333.33333333334
TJM9d7sYKRsGcoZyy3zpjFJYzGi7jsmp9j,600000.0,2,300000.0
TEPSrSYPDSQ7yXpMFPq91Fb1QEWpMkRGfn,562598.4228120011,513,1096.6830854035109
TRPMsDDMVhwi9woemZTtBMmGWW94nvvp7u,559468.0,1,559468.0
TA2VmkhQQCTA9B5ammEF9QWLrM9WE75EGH,557811.0,1,557811.0
TAjCSCkUKGPzmhStKFeqLAkGuwGKFPhUcn,550825.0,1,550825.0
TVn79hEUPeN5bGUhg7KCBt4fk9CupfrfJP,550825.0,1,550825.0
TSg5znpzgQu3n849AAxhVtkK3FRgfXtK6r,550500.0,1,550500.0
TFndj5ohtttEgt3vH8q29CG88nCAxSTKmo,532232.09,3,177410.69666666666
TYPSiv26jkAoNrZTKLuq33tSNBMaxibZQh,500001.036001,1,500001.036001
TLJeHKWFDKJvke69rfsDD93mRRbU59fh94,500000.0,1,500000.0
TBGBuaunruTGfqV2dmPidmR4878c4uuCMR,435000.103349,3,145000.03444966665
TLswj4rc31nDQpLWXBKom1WuyM3wvhAauf,400000.080001,1,400000.080001
TVVwB1wh6RLXntWkXqjgxPg5Ugq9Dc7AQd,400000.0,1,400000.0
TM3uS689fBmS2K4dpiUFwpMA7htSnnx8CY,400000.0,1,400000.0
TBLNoJ2bDaMEvGuVjqpkfc7bpJx97Wj8QX,400000.0,2,200000.0
THMeGcWBd843TUDj64ggA2pF2rT67rJo8y,380440.0,3,126813.33333333333
TVN2MR6PGFqJhx23nGU1sGfUrX8TqBVkoS,373466.0,2,186733.0
TL9FDp5fYyaxErxdWLfpeBxksrfWERzbu9,360789.826284,2,180394.913142
TKk6CpUWu28MHf9GDo1VDzGeLvf4QDHWYh,360000.0,4,90000.0
TVsK8QBL8qu5G6EUmD1rxeSQphKKHF1Fn2,360000.0,1,360000.0
TRSbCQPHrJJLFVUcECS6CKZ4BtxmNQcRR2,350000.0,1,350000.0
TUeNLqPFPbfQTPJ4RW7rJiEwwQ7nRXZ55G,347717.01,1,347717.01
TNzAjT7zU8MWE7askSyEMK3kuD7VVxopjQ,338627.70908,1,338627.70908
TJL4Awyd4zSjeUQcWVx2ZG4zBr5tXaqamB,330000.0,1,330000.0
TYWrRdVCkR8RKZ9Tir8FqVBk2t4terhJBK,327000.0,2,163500.0
TNpxDHnFm7m4u5eynhYqxMctstrNQYiBJg,300000.0,1,300000.0
TW7m8Cfb1PVu3BqZ4XiTMDjBrdVtoMYCX8,288435.0,1,288435.0
TRuRgpv9ZWk6PJKJikJHJsqjF6K5cKr1uW,274962.07,4,68740.5175
TDEA1UnGUPETFiYs2uoZqjPjphJEaEGqTr,270305.477083,47,5751.1803634680855
TFNnY625zeZCSuwTanc7VrNWFrfnAoFFL8,265800.0,3,88600.0
THgBiiRoqQHN89z5g53cQZ7rZmXke4spP1,255500.0,1,255500.0
TAGzK9Ry2g38pEc18e4ynAm2kmqWrMJQEV,251415.9601,39,6446.5630794871795
TUDaW7s1qkzkeHwjEx1ZUMbuNMuTJjfcH3,250000.0,1,250000.0
TAY26fDDiY8uYZhK7sA4wsAbMB6b6qyFd3,250000.0,1,250000.0
TRXQHi3uTe82kGSMPJvEu9eALqC1iALAHg,245044.46519599995,208,1178.0983903653844
TYu2U5cjwm6Ph8DGZQEPWn8zzMGrRaRf7g,243496.0,7,34785.142857142855
TXeLzi1AV2XKaa3fRrT4vt7jEsg7ZJeWAU,242433.45631400007,159,1524.7387189559752
TAfYY1mAE4hp1WYKAGNLJXoStL7L4zfvj5,240000.0,1,240000.0
TBJW1nRc63W21ARsTmNNF5faTHoXZP55pc,231060.0937329999,923,250.33596287432275
TXN73aZmzj4ApLcht4KwVhxDHMxPz8gVBf,230994.81,3,76998.27
TSNMKorPpK723G2TYU6tL64ry5xLTwT1nP,230000.0,1,230000.0
TPKVfV3tWPKr3zN9dkRdHBPdS6ZfAXtJmu,223545.23,1,223545.23
TMsVZr2qm3e64RV5xRy9GdF4xMfYdZx5ut,220067.558074,1,220067.558074
TBa627EH9UAKdHYncpnDhXrc1nRd3t9fnQ,220000.0,3,73333.33333333333
TC5topwun6Y8Aq5idf2p1dNE4MadRs3PTk,217865.0,1,217865.0
TQhqKvoSRa7isMCSG7L7yuwBGgBUGkxFuu,200000.0,1,200000.0
