#,Account,Amount,Value,Percentage,Last Txn Time (UTC)
1,TMuA6YqfCeX8EhbfYEg5y7S4DqzSJireY9,3999333656.372439,4000141195.26,0.0647,2024-08-26 12:01:06
2,TT1DyeqXaaJkt6UhVYFWUXBXknaXnBudTK,2164997611.001000,2165434763.76,0.0350,2024-07-21 18:43:03
3,TWd4WrZ9wn84f5x1hZhL4DHvk738ns5jwb,1900000001.000000,1900383645.88,0.0307,2024-09-21 06:52:00
4,TMwf7KT8CCdUKuZfKNPTTjbYkFb3eGRbzY,1797099992.299149,1797462859.78,0.0290,2024-09-19 16:35:45
5,TKHuVq1oKVruCGLvqVexFs6dawKv6fQgFs,777283407.498291,777440355.28,0.0125,2024-09-21 11:15:00
6,TRGCqsUXeynKTgynp2j9g3sg7Nux2KtB3u,550000034.994100,550111090.09,0.0088,2024-09-18 15:32:27
7,TTd9qHyjqiUkfTxe3gotbuTMpjU8LEbpkN,432435037.814096,432522354.38,0.0069,2024-09-21 12:27:12
8,TDqSquXBgUCLYvYC4XZgrprLK589dkhSCf,354272760.444049,354344294.61,0.0057,2024-09-21 12:26:27
9,TNiq9AXBp9EjUqhDhrwrfvAA8U3GUQZH81,212922432.054451,212965425.00,0.0034,2024-08-14 06:51:27
10,TB1cPNTPE2yKRbyd5C3hd9KMXgb8HqW1CM,176597268.890261,176632927.12,0.0028,2024-09-20 08:59:24
11,TRJvQFUWwSmnk5rgM8m4HgE6Csj2qPEupX,169321774.369857,169355963.54,0.0027,2024-08-30 01:25:51
12,TRYL7PKCG4b4xRCM554Q5J6o8f1UjUmfnY,162082633.293314,162115360.75,0.0026,2024-09-14 08:19:36
13,TXJgMdjVX5dKiQaUi9QobwNxtSQaFqccvd,160178563.503627,160210906.49,0.0025,2024-09-21 12:09:42
14,TU4vEruvZwLLkSfV9bNw12EJTPvNr7Pvaa,154493162.319841,154524357.32,0.0024,2024-09-21 12:26:24
15,TBA6CypYJizwA9XdC7Ubgc5F1bxrQ7SqPt,144471278.187126,144500449.59,0.0023,2024-09-21 12:27:15
16,TTiDLWE6fZK8okMJv6ijg42yrH6W2pjSr9,131288616.315560,131315125.89,0.0021,2024-09-14 08:24:54
17,TXFBqBbqJommqZf7BV8NNYzePh97UmJodJ,131270309.992305,131296815.87,0.0021,2024-09-21 12:27:21
18,TU72cTvdkWvoB7xgN5TXFtoXtUuWRuvUTm,118590001.000000,118613946.49,0.0019,2024-07-07 06:48:42
19,TYASr5UV6HEcXatwdFQfmLVUqQQQMUxHLS,112381515.392321,112404207.28,0.0018,2024-09-21 12:26:27
20,TQrY8tryqsYVCYS3MFbtffiPp2ccyn4STm,107600791.341212,107622517.91,0.0017,2024-09-21 12:26:27
21,TQLz9rCrgnk8K2FcAsT8B7Q6vKJh48xCzZ,107172623.852422,107194263.97,0.0017,2024-09-16 09:16:30
22,TYtRsvRY5a23BHnm6pa3oCfPxoTeHtz12P,104399923.962031,104421004.22,0.0016,2024-09-20 09:33:45
23,TDStgfL1SHq69fo5NZ1MBAHYqvfMAQKh2r,99851579.269100,99871741.13,0.0016,2024-09-20 13:14:21
24,THDW2bQZicUiuJxkWHhtmva9b37JFWnMf4,94226604.721475,94245630.80,0.0015,2024-04-09 16:24:51
25,TUCS5ToZvL23Q6kKtWUhAGgMfJBwPUZgfu,91004886.313686,91023261.87,0.0014,2024-09-18 14:52:54
26,TNinbemPskEReiLpaNU4qbVZNjh7BcKPok,90000000.000000,90018172.65,0.0014,2024-08-03 14:53:00
27,TNXoiAJ3dct8Fjg4M9fkLFh9S2v9TXc32G,85371210.269027,85388448.28,0.0013,2024-09-21 12:26:27
28,TRutM6QaSRSZQcR5RwWYbP7WJakqJrhyxb,82310414.634000,82327034.61,0.0013,2024-09-13 06:49:39
29,TAzsQ9Gx8eqFNFSKbeXrbi45CuVPHzA8wr,77298339.945280,77313947.89,0.0012,2024-09-21 12:26:27
30,TRVcYEBh7QaU9V7qoLk1iqzejNuYBpPx6n,74104408.726682,74119371.76,0.0011,2024-09-21 12:26:27
31,TJDENsfBJs4RFETt1X1W8wMDc8M5XnJhCe,69538190.011006,69552231.04,0.0011,2024-09-21 12:26:27
32,TKzjgap1y7MmSYnRgn9witmbR2MSg3VXz4,65985744.983068,65999068.71,0.0010,2024-09-21 12:26:27
33,TLQRqNBGfeWJx51uMzsS6xtJiRQZokreeZ,60000000.000000,60012115.10,0.0009,2024-08-06 13:24:27
34,TN6Lfia5YwJ1MrCNu3mHANrJhaMh4x8ByW,58960802.471678,58972707.74,0.0009,2024-09-21 07:09:27
35,TDCx6xCJQoo3ZohxnDxkB1PnDe5fDfUkcx,58791109.834303,58802980.83,0.0009,2024-09-20 10:01:03
36,TWu7g6oWG45xP5VaSCLA8tiN25ELjWPw57,58696017.998351,58707869.80,0.0009,2024-07-29 03:43:03
37,TTr4STG8SMVrPafYZEvFjZoerPGFTD8vUR,55050020.006200,55061135.61,0.0008,2024-07-29 03:43:03
38,TM1zzNDZD2DPASbKcgdVoTYhfmYgtfwx9R,53149328.181729,53160060.00,0.0008,2024-09-21 12:26:27
39,TDG6KYz9wDg3BB58jLgyDggWVSGYw2zuKD,51800000.725001,51810460.09,0.0008,2024-07-10 18:13:15
40,TDcmBrc1dYyq3MttF8PGZB4KNPAdfUFKc6,51050000.000000,51060307.93,0.0008,2024-07-17 08:59:27
41,TSUUVjysXV8YqHytSNjfkNXnnB49QDvZpx,50957861.243367,50968150.57,0.0008,2024-09-21 12:26:03
42,TGTsSX3L2BF7jcYW1695k63uTmU7YBVGQu,50010265.125002,50020363.11,0.0008,2024-08-05 14:25:45
43,TB37WWozkkenGVYWD7Do2N5WT2CedqDktJ,48955860.561929,48965745.64,0.0007,2024-09-21 10:27:27
44,TVkfauFVMA8WMwEVrdkitGdNEZKUNaa4LM,48003001.004001,48012693.69,0.0007,2024-09-19 14:24:54
45,TYDzsYUEpvnYmQk4zGP9sWWcTEd2MiAtW6,46690902.132487,46700329.88,0.0007,2023-06-03 06:45:00
46,TRqtSahVi28Rfd1uEW5ap6NzFoGWDwDUyu,46150000.106202,46159318.63,0.0007,2024-08-29 09:08:45
47,TBxEaEgsXWn3UDhEfDEMNpQatvHPhvqm7Y,45000500.001000,45009586.42,0.0007,2024-03-20 13:06:57
48,TQeNNo5zVarhdKm5EiJSekfNXg6H1tRN4n,45000004.678319,45009091.00,0.0007,2024-09-20 14:47:39
49,TLtatzKLjhDxEALsRAZUBVFKPrdKK8GRTY,44666449.980126,44675468.95,0.0007,2024-09-20 16:49:57
50,TFbrM6tiw4A3AhFQAyY7u6jYs7m2HFKavU,43820030.740342,43828878.80,0.0007,2024-09-19 12:58:36
51,TCtVtrdy8sSXGMx1QYUjMrAvau1pduC2Aa,42000000.100001,42008480.67,0.0006,2024-09-03 13:23:39
52,TFjWavS4dveueTwzTskp3wGkChADyfyArL,40480019.409127,40488193.06,0.0006,2024-02-20 22:36:27
53,TRqkA5owk2n7VfTRM49u6AZKeWZZHhks2d,40465000.005001,40473170.63,0.0006,2024-09-16 11:50:39
54,TSeVWaLuqZyg39YfcmxLPa3G3nDsDX2HkQ,37980000.000000,37987668.85,0.0006,2024-09-17 13:48:45
55,TFYt9fRuZAtUzq19PHTMggQy9dMeWceYPz,37704120.000000,37711733.15,0.0006,2024-09-19 09:40:00
56,TXNYeYdao7JL7wBtmzbk7mAie7UZsdgVjx,37374966.000000,37382512.69,0.0006,2024-04-23 09:20:39
57,TLvmLspsvPDzuBiZNygYADRyWxrtixh3cn,37131121.332214,37138618.78,0.0006,2024-09-16 12:21:00
58,TFGDbUyP8xez44C76fin3bn3Ss6jugoUwJ,36972329.441719,36979794.83,0.0005,2024-09-21 12:27:21
59,TGCYNe9tzTbR4HAdcLUqTmKJuNrzRV7Mqv,36713672.058702,36721085.22,0.0005,2024-09-07 16:23:54
60,TLb8h1T6JiFV8gn6MU1PjHNnzZo9ECAqMa,35050011.820990,35057089.06,0.0005,2024-07-23 05:03:45
61,TD32z28Qmyz1zj3LfoYMGnfxPTbsVopCSj,34907446.075949,34914494.53,0.0005,2024-09-21 12:25:00
62,THqaCGcYASRcYCPSLqEU95z6BnzEtGxfWP,34095714.173679,34102598.72,0.0005,2024-09-21 01:10:21
63,TTYR4Wt17FHd7NPow4KqohNbtp41cNvWL8,33343116.207199,33349848.79,0.0005,2024-08-11 14:56:18
64,TK86Qm97uM848dMk8G7xNbJB7zG1uW3h1n,33000001.000000,33006664.30,0.0005,2024-09-21 11:33:12
65,TJxtqkakLBtD7BwVXeV2McvCdSRbjchTBr,32467326.466896,32473882.21,0.0005,2024-03-19 14:51:36
66,TFZ4W42vWVyUnJjwZU6j2f2nXdtuQtzmcR,32106553.844001,32113036.74,0.0005,2024-09-21 12:24:51
67,TX42iZ53BEWV6pFH7u4CpC6tPN3Y2ZbbJ6,31979919.860555,31986377.19,0.0005,2024-09-17 10:52:36
68,TYgdwWmosphfr37USj9DAq1QvjjWPetruU,31306507.927824,31312829.28,0.0005,2024-08-12 11:14:21
69,TQFS9E84qM2Ps7FCUi29aBgvvCotDfY1aR,30800000.000000,30806219.08,0.0004,2023-12-30 19:14:24
70,T9yYMb2xSAegJw5khdy1xHuWBiZbgu8vCa,30050001.818500,30056069.46,0.0004,2024-09-07 07:31:30
71,TTr2we4YpHSHoZkbgcAKoeHcBWpMNy4kxd,30000800.000000,30006857.71,0.0004,2024-04-06 16:45:06
72,TFFpx5DoMqFkrH1sAxw17uVZuhCN85MAZ1,30000390.708649,30006448.33,0.0004,2023-08-16 22:11:24
73,TXyEekcwacisrnn1h98bXpjGXHFEFz7Lgf,30000072.500000,30006130.06,0.0004,2024-08-03 17:37:00
